stop_id,stop_lat,stop_lon,hour,trip_count
23,33.808111,-118.209933,hr_20,1
23,33.808111,-118.209933,hr_21,1
23,33.808111,-118.209933,hr_5,1
23,33.808111,-118.209933,hr_6,1
23,33.808111,-118.209933,hr_7,2
23,33.808111,-118.209933,hr_8,2
23,33.808111,-118.209933,hr_9,2
24,33.809922,-118.209924,hr_10,2
24,33.809922,-118.209924,hr_11,2
24,33.809922,-118.209924,hr_12,2
24,33.809922,-118.209924,hr_13,2
24,33.809922,-118.209924,hr_14,2
24,33.809922,-118.209924,hr_15,2
24,33.809922,-118.209924,hr_16,2
24,33.809922,-118.209924,hr_17,2
24,33.809922,-118.209924,hr_18,2
24,33.809922,-118.209924,hr_19,1
24,33.809922,-118.209924,hr_20,1
24,33.809922,-118.209924,hr_21,1
24,33.809922,-118.209924,hr_5,1
24,33.809922,-118.209924,hr_6,1
24,33.809922,-118.209924,hr_7,2
24,33.809922,-118.209924,hr_8,2
24,33.809922,-118.209924,hr_9,2
25,33.811851000000004,-118.209988,hr_10,2
25,33.811851000000004,-118.209988,hr_11,2
25,33.811851000000004,-118.209988,hr_12,2
25,33.811851000000004,-118.209988,hr_13,2
25,33.811851000000004,-118.209988,hr_14,2
25,33.811851000000004,-118.209988,hr_15,2
25,33.811851000000004,-118.209988,hr_16,2
25,33.811851000000004,-118.209988,hr_17,2
25,33.811851000000004,-118.209988,hr_18,2
25,33.811851000000004,-118.209988,hr_19,1
25,33.811851000000004,-118.209988,hr_20,1
25,33.811851000000004,-118.209988,hr_21,1
25,33.811851000000004,-118.209988,hr_5,1
25,33.811851000000004,-118.209988,hr_6,1
25,33.811851000000004,-118.209988,hr_7,2
25,33.811851000000004,-118.209988,hr_8,2
25,33.811851000000004,-118.209988,hr_9,2
26,33.815511,-118.210001,hr_10,2
26,33.815511,-118.210001,hr_11,2
26,33.815511,-118.210001,hr_12,2
26,33.815511,-118.210001,hr_13,2
26,33.815511,-118.210001,hr_14,2
26,33.815511,-118.210001,hr_15,2
26,33.815511,-118.210001,hr_16,2
26,33.815511,-118.210001,hr_17,2
26,33.815511,-118.210001,hr_18,2
26,33.815511,-118.210001,hr_19,1
26,33.815511,-118.210001,hr_20,1
26,33.815511,-118.210001,hr_21,1
26,33.815511,-118.210001,hr_5,1
26,33.815511,-118.210001,hr_6,1
26,33.815511,-118.210001,hr_7,2
26,33.815511,-118.210001,hr_8,2
26,33.815511,-118.210001,hr_9,2
27,33.817296999999996,-118.20998200000001,hr_10,2
27,33.817296999999996,-118.20998200000001,hr_11,2
27,33.817296999999996,-118.20998200000001,hr_12,2
27,33.817296999999996,-118.20998200000001,hr_13,2
27,33.817296999999996,-118.20998200000001,hr_14,2
27,33.817296999999996,-118.20998200000001,hr_15,2
27,33.817296999999996,-118.20998200000001,hr_16,2
27,33.817296999999996,-118.20998200000001,hr_17,2
27,33.817296999999996,-118.20998200000001,hr_18,2
27,33.817296999999996,-118.20998200000001,hr_19,1
27,33.817296999999996,-118.20998200000001,hr_20,1
27,33.817296999999996,-118.20998200000001,hr_21,1
27,33.817296999999996,-118.20998200000001,hr_5,1
27,33.817296999999996,-118.20998200000001,hr_6,1
27,33.817296999999996,-118.20998200000001,hr_7,2
27,33.817296999999996,-118.20998200000001,hr_8,2
27,33.817296999999996,-118.20998200000001,hr_9,2
28,33.818684999999995,-118.209999,hr_10,2
28,33.818684999999995,-118.209999,hr_11,2
28,33.818684999999995,-118.209999,hr_12,2
28,33.818684999999995,-118.209999,hr_13,2
28,33.818684999999995,-118.209999,hr_14,2
28,33.818684999999995,-118.209999,hr_15,2
28,33.818684999999995,-118.209999,hr_16,2
28,33.818684999999995,-118.209999,hr_17,2
28,33.818684999999995,-118.209999,hr_18,2
28,33.818684999999995,-118.209999,hr_19,1
28,33.818684999999995,-118.209999,hr_20,1
28,33.818684999999995,-118.209999,hr_21,1
28,33.818684999999995,-118.209999,hr_5,1
28,33.818684999999995,-118.209999,hr_6,1
28,33.818684999999995,-118.209999,hr_7,2
28,33.818684999999995,-118.209999,hr_8,2
28,33.818684999999995,-118.209999,hr_9,2
29,33.819832,-118.211075,hr_10,2
29,33.819832,-118.211075,hr_11,2
29,33.819832,-118.211075,hr_12,2
29,33.819832,-118.211075,hr_13,2
29,33.819832,-118.211075,hr_14,2
29,33.819832,-118.211075,hr_15,2
29,33.819832,-118.211075,hr_16,2
29,33.819832,-118.211075,hr_17,2
29,33.819832,-118.211075,hr_18,2
29,33.819832,-118.211075,hr_19,1
29,33.819832,-118.211075,hr_20,1
29,33.819832,-118.211075,hr_21,1
29,33.819832,-118.211075,hr_5,1
29,33.819832,-118.211075,hr_6,1
29,33.819832,-118.211075,hr_7,2
29,33.819832,-118.211075,hr_8,2
29,33.819832,-118.211075,hr_9,2
30,33.823126,-118.211053,hr_10,2
30,33.823126,-118.211053,hr_11,2
30,33.823126,-118.211053,hr_12,2
30,33.823126,-118.211053,hr_13,2
30,33.823126,-118.211053,hr_14,2
30,33.823126,-118.211053,hr_15,2
30,33.823126,-118.211053,hr_16,2
30,33.823126,-118.211053,hr_17,2
30,33.823126,-118.211053,hr_18,2
30,33.823126,-118.211053,hr_19,1
30,33.823126,-118.211053,hr_20,1
30,33.823126,-118.211053,hr_21,1
30,33.823126,-118.211053,hr_5,1
30,33.823126,-118.211053,hr_6,1
30,33.823126,-118.211053,hr_7,2
30,33.823126,-118.211053,hr_8,2
30,33.823126,-118.211053,hr_9,2
31,33.824481,-118.215933,hr_10,2
31,33.824481,-118.215933,hr_11,2
31,33.824481,-118.215933,hr_12,2
31,33.824481,-118.215933,hr_13,2
31,33.824481,-118.215933,hr_14,2
31,33.824481,-118.215933,hr_15,3
31,33.824481,-118.215933,hr_16,2
31,33.824481,-118.215933,hr_17,2
31,33.824481,-118.215933,hr_18,2
31,33.824481,-118.215933,hr_19,1
31,33.824481,-118.215933,hr_20,1
31,33.824481,-118.215933,hr_21,1
31,33.824481,-118.215933,hr_22,1
31,33.824481,-118.215933,hr_23,1
31,33.824481,-118.215933,hr_24,1
31,33.824481,-118.215933,hr_5,1
31,33.824481,-118.215933,hr_6,3
31,33.824481,-118.215933,hr_7,4
31,33.824481,-118.215933,hr_8,2
31,33.824481,-118.215933,hr_9,2
32,33.823439,-118.21116,hr_10,2
32,33.823439,-118.21116,hr_11,2
32,33.823439,-118.21116,hr_12,2
32,33.823439,-118.21116,hr_13,2
32,33.823439,-118.21116,hr_14,2
32,33.823439,-118.21116,hr_15,2
32,33.823439,-118.21116,hr_16,2
32,33.823439,-118.21116,hr_17,2
32,33.823439,-118.21116,hr_18,2
32,33.823439,-118.21116,hr_19,1
32,33.823439,-118.21116,hr_20,1
32,33.823439,-118.21116,hr_21,1
32,33.823439,-118.21116,hr_22,1
32,33.823439,-118.21116,hr_4,1
32,33.823439,-118.21116,hr_5,1
32,33.823439,-118.21116,hr_6,2
32,33.823439,-118.21116,hr_7,2
32,33.823439,-118.21116,hr_8,2
32,33.823439,-118.21116,hr_9,2
33,33.821203000000004,-118.211147,hr_10,2
33,33.821203000000004,-118.211147,hr_11,2
33,33.821203000000004,-118.211147,hr_12,2
33,33.821203000000004,-118.211147,hr_13,2
33,33.821203000000004,-118.211147,hr_14,2
33,33.821203000000004,-118.211147,hr_15,2
33,33.821203000000004,-118.211147,hr_16,2
33,33.821203000000004,-118.211147,hr_17,2
33,33.821203000000004,-118.211147,hr_18,2
33,33.821203000000004,-118.211147,hr_19,1
33,33.821203000000004,-118.211147,hr_20,1
33,33.821203000000004,-118.211147,hr_21,1
33,33.821203000000004,-118.211147,hr_22,1
33,33.821203000000004,-118.211147,hr_4,1
33,33.821203000000004,-118.211147,hr_5,1
33,33.821203000000004,-118.211147,hr_6,2
33,33.821203000000004,-118.211147,hr_7,2
33,33.821203000000004,-118.211147,hr_8,2
33,33.821203000000004,-118.211147,hr_9,2
34,33.819092,-118.21115800000001,hr_10,2
34,33.819092,-118.21115800000001,hr_11,2
34,33.819092,-118.21115800000001,hr_12,2
34,33.819092,-118.21115800000001,hr_13,2
34,33.819092,-118.21115800000001,hr_14,2
34,33.819092,-118.21115800000001,hr_15,2
34,33.819092,-118.21115800000001,hr_16,2
34,33.819092,-118.21115800000001,hr_17,2
34,33.819092,-118.21115800000001,hr_18,2
34,33.819092,-118.21115800000001,hr_19,1
34,33.819092,-118.21115800000001,hr_20,1
34,33.819092,-118.21115800000001,hr_21,1
34,33.819092,-118.21115800000001,hr_22,1
34,33.819092,-118.21115800000001,hr_4,1
34,33.819092,-118.21115800000001,hr_5,1
34,33.819092,-118.21115800000001,hr_6,2
34,33.819092,-118.21115800000001,hr_7,2
34,33.819092,-118.21115800000001,hr_8,2
34,33.819092,-118.21115800000001,hr_9,2
35,33.818712,-118.210078,hr_10,2
35,33.818712,-118.210078,hr_11,2
35,33.818712,-118.210078,hr_12,2
35,33.818712,-118.210078,hr_13,2
35,33.818712,-118.210078,hr_14,2
35,33.818712,-118.210078,hr_15,2
35,33.818712,-118.210078,hr_16,2
35,33.818712,-118.210078,hr_17,2
35,33.818712,-118.210078,hr_18,2
35,33.818712,-118.210078,hr_19,1
35,33.818712,-118.210078,hr_20,1
35,33.818712,-118.210078,hr_21,1
35,33.818712,-118.210078,hr_22,1
35,33.818712,-118.210078,hr_4,1
35,33.818712,-118.210078,hr_5,1
35,33.818712,-118.210078,hr_6,2
35,33.818712,-118.210078,hr_7,2
35,33.818712,-118.210078,hr_8,2
35,33.818712,-118.210078,hr_9,2
36,33.816868,-118.210073,hr_10,2
36,33.816868,-118.210073,hr_11,2
36,33.816868,-118.210073,hr_12,2
36,33.816868,-118.210073,hr_13,2
36,33.816868,-118.210073,hr_14,2
36,33.816868,-118.210073,hr_15,2
36,33.816868,-118.210073,hr_16,2
36,33.816868,-118.210073,hr_17,2
36,33.816868,-118.210073,hr_18,2
36,33.816868,-118.210073,hr_19,1
36,33.816868,-118.210073,hr_20,1
36,33.816868,-118.210073,hr_21,1
36,33.816868,-118.210073,hr_22,1
36,33.816868,-118.210073,hr_4,1
36,33.816868,-118.210073,hr_5,1
36,33.816868,-118.210073,hr_6,2
36,33.816868,-118.210073,hr_7,2
36,33.816868,-118.210073,hr_8,2
36,33.816868,-118.210073,hr_9,2
37,33.815041,-118.21006200000001,hr_10,2
37,33.815041,-118.21006200000001,hr_11,2
37,33.815041,-118.21006200000001,hr_12,2
37,33.815041,-118.21006200000001,hr_13,2
37,33.815041,-118.21006200000001,hr_14,2
37,33.815041,-118.21006200000001,hr_15,2
